name,@lat,@lon
Shell,41.0902612,28.6341511
Petrol Ofisi,41.1039976,28.7829606
Opet,40.9172729,29.1437507
Petrol Ofisi,41.0686901,28.6606461
Opet,41.0833601,28.9998088
TotalEnergies,41.0364956,29.0654622
BP,41.0096292,29.2108598
,41.0168551,29.0762250
,41.0242908,29.0549021
,40.9405848,29.3698435
,40.9427977,29.3734955
,41.0136909,29.2462526
,41.0141006,29.1636497
,41.0205186,29.1296318
Shell,41.0563547,28.3703412
Opet,40.9777426,29.2205100
,40.9694396,29.2201763
Opet,41.1990644,29.1485537
,41.1204568,28.7824643
,41.0370436,29.1553228
,41.0329489,29.1108854
Petrol Ofisi,41.0164743,29.1776657
,41.1365953,28.6229659
